2024-11-19 18:23:25 INFO  TaskSetManager:54 - Finished task 0.0 in stage 8.0 (TID 10) in 4919 ms on 10.158.82.68 (executor 0) (1/2)
2024-11-19 18:23:28 INFO  TaskSetManager:54 - Finished task 1.0 in stage 8.0 (TID 11) in 2592 ms on 10.158.82.68 (executor 0) (2/2)
2024-11-19 18:23:28 INFO  TaskSchedulerImpl:54 - Removed TaskSet 8.0, whose tasks have all completed, from pool 
2024-11-19 18:23:28 INFO  DAGScheduler:54 - ShuffleMapStage 8 (flatMapToPair at ShortestPath.java:66) finished in 7.519 s
2024-11-19 18:23:28 INFO  DAGScheduler:54 - looking for newly runnable stages
2024-11-19 18:23:28 INFO  DAGScheduler:54 - running: Set()
2024-11-19 18:23:28 INFO  DAGScheduler:54 - waiting: Set(ResultStage 9)
2024-11-19 18:23:28 INFO  DAGScheduler:54 - failed: Set()
2024-11-19 18:23:28 INFO  DAGScheduler:54 - Submitting ResultStage 9 (MapPartitionsRDD[15] at filter at ShortestPath.java:21), which has no missing parents
2024-11-19 18:23:28 INFO  MemoryStore:54 - Block broadcast_7 stored as values in memory (estimated size 4.3 KB, free 366.0 MB)
2024-11-19 18:23:28 INFO  MemoryStore:54 - Block broadcast_7_piece0 stored as bytes in memory (estimated size 2.4 KB, free 366.0 MB)
2024-11-19 18:23:28 INFO  BlockManagerInfo:54 - Added broadcast_7_piece0 in memory on cssmpi8h.uwb.edu:34382 (size: 2.4 KB, free: 366.3 MB)
2024-11-19 18:23:28 INFO  SparkContext:54 - Created broadcast 7 from broadcast at DAGScheduler.scala:1039
2024-11-19 18:23:28 INFO  DAGScheduler:54 - Submitting 2 missing tasks from ResultStage 9 (MapPartitionsRDD[15] at filter at ShortestPath.java:21) (first 15 tasks are for partitions Vector(0, 1))
2024-11-19 18:23:28 INFO  TaskSchedulerImpl:54 - Adding task set 9.0 with 2 tasks
2024-11-19 18:23:28 INFO  TaskSetManager:54 - Starting task 0.0 in stage 9.0 (TID 12, 10.158.82.68, executor 0, partition 0, NODE_LOCAL, 7653 bytes)
2024-11-19 18:23:28 INFO  BlockManagerInfo:54 - Added broadcast_7_piece0 in memory on 10.158.82.68:41061 (size: 2.4 KB, free: 366.3 MB)
2024-11-19 18:23:28 INFO  MapOutputTrackerMasterEndpoint:54 - Asked to send map output locations for shuffle 2 to 10.158.82.68:38930
2024-11-19 18:23:31 INFO  TaskSetManager:54 - Starting task 1.0 in stage 9.0 (TID 13, 10.158.82.68, executor 0, partition 1, NODE_LOCAL, 7653 bytes)
2024-11-19 18:23:31 INFO  TaskSetManager:54 - Finished task 0.0 in stage 9.0 (TID 12) in 2509 ms on 10.158.82.68 (executor 0) (1/2)
